Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2023-06-20,2950.48876953125,2954.876565910973,2926.127695464935,2937.9654393929986,1528452
2023-06-21,2978.369873046875,2981.294996829443,2947.06142983265,2970.8741736125958,1645987
2023-06-22,2960.36181640625,2987.008182887772,2952.683338666562,2980.0152914881505,1529603
2023-06-23,2940.114013671875,2970.3253373650405,2933.5322068110854,2959.2646792263045,1119505
2023-06-26,2915.707275390625,2937.8745675991736,2900.487347535049,2929.7390320989075,1978803
2023-06-27,2922.745849609375,2933.9892862063707,2908.988373447767,2926.9963953304227,863542
2023-06-28,2939.291015625,2953.4597980455083,2919.1347353535625,2932.4809035477288,1575872
2023-06-30,3018.636474609375,3025.720866365972,2938.0573208662913,2943.4505104829095,2672406
2023-07-03,2991.2587890625,3033.76513982982,2988.0136359285348,3029.6516220136277,1687264
2023-07-04,3024.669921875,3030.2916406270174,2995.8295450348064,3007.4387624925753,1656681
2023-07-05,3034.81640625,3043.0891926066924,3021.150430028573,3034.8621566398974,1453008
2023-07-06,3037.512939453125,3042.586322830739,3018.4080233653217,3022.567291654091,1848238
2023-07-07,3043.317626953125,3068.592819620022,3018.4079910488003,3018.4079910488003,1789326
2023-07-10,2990.939208984375,3039.2045365819954,2984.7689313328437,3039.2045365819954,1407431
2023-07-11,2991.349853515625,3012.0089419005876,2980.746253359692,3012.0089419005876,1110172
2023-07-12,2979.923095703125,3006.6609567296705,2970.9649481536667,2999.1652591276857,1515240
2023-07-13,3053.64697265625,3078.2365774087834,2991.669929707117,3001.953723675249,4585146
2023-07-14,3212.794677734375,3222.1188306720537,3064.1139399358403,3075.9974367196014,6306101
2023-07-17,3191.815185546875,3245.016631990213,3178.423490549753,3208.54353407701,2743228
2023-07-18,3196.523681640625,3221.341818927721,3167.409024569964,3177.4642913146304,2600090
2023-07-19,3172.025146484375,3214.8057777866934,3149.7206041471604,3199.402849087036,2405370
2023-07-20,3174.087646484375,3188.3847912979368,3149.113232732391,3164.7394703076247,1715404
2023-07-21,3087.0205078125,3148.058749845472,3078.5429555507294,3119.7851016890736,3770223
